_id,code,DISTRICT/CITY,SL. NO.,TESTING CENTER NAME,LOCATION,ADDRESS,CONTACT,EMBED LINK,TEST,TYPE,LATITUDES,LONGITUDES
13,adl,ADILABAD,20,PHC Jainath,https://goo.gl/maps/7rMzMYzRZXczzF9HA,"Jainath, Telangana 504309",,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d21244.46065960765!2d78.630691100207!3d19.732813753446074!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x31bbba87c686a0e3!2sPrimary%20Health%20centre%2C%20Jainad!5e0!3m2!1sen!2sin!4v1598766711816!5m2!1sen!2sin"" width=""400"" height=""300"" frameborder=""0"" style=""border:0;"" allowfullscreen="""" aria-hidden=""false"" tabindex=""0""></iframe>",RAPID ANTIGEN,GOVT,19.7328138,78.6306911
14,adl,ADILABAD,21,PHC Narnoor,https://goo.gl/maps/EVp5B5kru1bTxutCA,"Narnoor, Telangana 504311",,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d30087.696414378854!2d78.8404601998305!3d19.500268397126842!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x7914212562d6c2c8!2sGovernment%20Hospital%20Of%20Narnoor!5e0!3m2!1sen!2sin!4v1598767314419!5m2!1sen!2sin"" width=""400"" height=""300"" frameborder=""0"" style=""border:0;"" allowfullscreen="""" aria-hidden=""false"" tabindex=""0""></iframe>",RAPID ANTIGEN,GOVT,19.5002684,78.8404602
15,adl,ADILABAD,22,PHC Neradgonda,https://goo.gl/maps/J6SB4YStdUqX6NLp9,"Neredgonda, Telangana 504323",,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d15062.19548415631!2d78.40223476509806!3d19.30197493258614!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0xbc34838e66632a2!2sGovernment%20Hospital!5e0!3m2!1sen!2sin!4v1598767459394!5m2!1sen!2sin"" width=""400"" height=""300"" frameborder=""0"" style=""border:0;"" allowfullscreen="""" aria-hidden=""false"" tabindex=""0""></iframe>",RAPID ANTIGEN,GOVT,19.3019749,78.4022348
16,adl,ADILABAD,23,PHC Talamadugu,https://goo.gl/maps/i9FoDKnUdfyNu8vLA,"Talamadugu, Telangana 504312",,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d5015.845393013645!2d78.39183748313864!3d19.64275657524346!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0xc4b6d1a058e1ff21!2sPHC%20PRIMARY%20HEALTH%20CENTER!5e0!3m2!1sen!2sin!4v1598767569978!5m2!1sen!2sin"" width=""400"" height=""300"" frameborder=""0"" style=""border:0;"" allowfullscreen="""" aria-hidden=""false"" tabindex=""0""></iframe>",RAPID ANTIGEN,GOVT,19.6427566,78.3918375
17,adl,ADILABAD,25,PHC Danthanpally,https://goo.gl/maps/jf4tJ2ZaHW73Fh5j8,"Mominpura, Sevadas Nagar, Utnoor, Telangana 504311",,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d60220.91428429375!2d78.78281623641271!3d19.377501613599804!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x11187afe2b8a17df!2sGovt.%20Homeopathy%20Hospital!5e0!3m2!1sen!2sin!4v1598769141985!5m2!1sen!2sin"" width=""400"" height=""300"" frameborder=""0"" style=""border:0;"" allowfullscreen="""" aria-hidden=""false"" tabindex=""0""></iframe>",RAPID ANTIGEN,GOVT,19.3775016,78.7828162
18,adl,ADILABAD,26,PHC Hasnapur,https://goo.gl/maps/FQ99zbaJwsAHaG6o8,"Hasnapur, Telangana 504311",,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d71611.45408576351!2d78.76006212224937!3d19.385883696006033!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0xba9a8760ac25b6e1!2sgovernment%20hospital!5e0!3m2!1sen!2sin!4v1598769264502!5m2!1sen!2sin"" width=""400"" height=""300"" frameborder=""0"" style=""border:0;"" allowfullscreen="""" aria-hidden=""false"" tabindex=""0""></iframe>",RAPID ANTIGEN,GOVT,19.3858837,78.7600621
19,adl,ADILABAD,27,PHC Shampur,https://goo.gl/maps/NsMQFeZipEWnM3Z4A,"Hasnapur, Telangana 504311",,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d85140.44811731414!2d78.76325673242587!3d19.42485595851772!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0xba9a8760ac25b6e1!2sgovernment%20hospital!5e0!3m2!1sen!2sin!4v1598769497268!5m2!1sen!2sin"" width=""400"" height=""300"" frameborder=""0"" style=""border:0;"" allowfullscreen="""" aria-hidden=""false"" tabindex=""0""></iframe>",RAPID ANTIGEN,GOVT,19.424856,78.7632567
20,adl,ADILABAD,28,DH Utnoor,https://goo.gl/maps/qt7dHCHHRNqzBnrr5,"Utnoor, Telangana 504311, India",8731275300,"<iframe src=""https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d4607.387898753338!2d78.76619119110211!3d19.36736997638423!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bd285ca165ed92f%3A0x541218b07085df0f!2sGovt.%20Hospital%20Utnoor!5e0!3m2!1sen!2sus!4v1598685802303!5m2!1sen!2sus"" width=""400"" height=""300"" frameborder=""0"" style=""border:0;"" allowfullscreen="""" aria-hidden=""false"" tabindex=""0""></iframe>",RAPID ANTIGEN,GOVT,19.3672778,78.7690322
21,adl,ADILABAD,29,CHC Boath,https://goo.gl/maps/ckaTJbH6LCvYnk417,"Boath Buzurg, Telangana 504304",,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d395.69389611626724!2d78.31581951513428!3d19.347665716548075!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x9f7f8a5bcd8bdbdb!2sCommunity%20Hospital!5e0!3m2!1sen!2sin!4v1598770013639!5m2!1sen!2sin"" width=""400"" height=""300"" frameborder=""0"" style=""border:0;"" allowfullscreen="""" aria-hidden=""false"" tabindex=""0""></iframe>",RAPID ANTIGEN,GOVT,19.3476657,78.3158195
22,adl,ADILABAD,30,"Med College RIMS, Hospital",https://goo.gl/maps/uQHMki9BnFgcHYeN8,"Rickshaw Colony, Adilabad, Telangana 504001",,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1923655.5902107272!2d78.52508370338427!3d19.664039171181148!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bd25c7cb6628bff%3A0xb5b8da794ca8fcc7!2sRIMS%20Medical%20College!5e0!3m2!1sen!2sin!4v1598675597274!5m2!1sen!2sin"" width=""400"" height=""300"" frameborder=""0"" style=""border:0;"" allowfullscreen="""" aria-hidden=""false"" tabindex=""0""></iframe>",RAPID ANTIGEN,GOVT,19.6640392,78.5250837
23,bkm,BHADRADRI KOTHAGUDEM,1,PHC Allapalli,https://goo.gl/maps/Cg57WY4WefQpre3A7," Allapalli, Telangana 507101",,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d15192.756305713008!2d80.47167780927806!3d17.829769265110198!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3a33f5773f3cd97f%3A0x65beab946569987f!2sPHC%20ALLAPALLY!5e0!3m2!1sen!2sin!4v1598774137930!5m2!1sen!2sin"" width=""400"" height=""300"" frameborder=""0"" style=""border:0;"" allowfullscreen="""" aria-hidden=""false"" tabindex=""0""></iframe>",RAPID ANTIGEN,GOVT,17.8297693,80.4716778
24,bkm,BHADRADRI KOTHAGUDEM,2,PHC Erragunta,https://goo.gl/maps/JAWvPatF928toMFs9,"Yerragunta, Telangana 507316",,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d9059.236175517475!2d80.6875346215365!3d17.31846253461841!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0xb570cdb814b86788!2serragunta%20phc!5e0!3m2!1sen!2sin!4v1598774239858!5m2!1sen!2sin"" width=""400"" height=""300"" frameborder=""0"" style=""border:0;"" allowfullscreen="""" aria-hidden=""false"" tabindex=""0""></iframe>",RAPID ANTIGEN,GOVT,17.3184625,80.6875346
25,bkm,BHADRADRI KOTHAGUDEM,3,PHC Aswapuram,https://goo.gl/maps/csoJnPrmMpKaMSjm6,"Aswapuram, Telangana 507116",,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d12775.461436595162!2d80.82257298313583!3d17.830785431264996!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3a36ab683ddac6bb%3A0x67b9686e62359f81!2sPHC%20ASWAPURAM!5e0!3m2!1sen!2sin!4v1598774308782!5m2!1sen!2sin"" width=""400"" height=""300"" frameborder=""0"" style=""border:0;"" allowfullscreen="""" aria-hidden=""false"" tabindex=""0""></iframe>",RAPID ANTIGEN,GOVT,17.8307854,80.822573
26,bkm,BHADRADRI KOTHAGUDEM,4,PHC Aswaraopeta,https://goo.gl/maps/B7o1GFf1RseU15MNA,"Aswaraopeta, Telangana 507301",,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d15241.976577886488!2d81.11260120626348!3d17.243312300000007!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3a368d61c0d900a3%3A0xb3741333a8e8a7e0!2sCommunity%20Health%20Center%2C%20Tsvvp!5e0!3m2!1sen!2sin!4v1598774430084!5m2!1sen!2sin"" width=""400"" height=""300"" frameborder=""0"" style=""border:0;"" allowfullscreen="""" aria-hidden=""false"" tabindex=""0""></iframe>",RAPID ANTIGEN,GOVT,17.2433123,81.1126012
27,bkm,BHADRADRI KOTHAGUDEM,5,PHC Gummadavalli,https://goo.gl/maps/BzadHteYo8qRosC39,"Aswaraopeta Rd, Gummadavalli, Telangana 507301",,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1345.8509639609301!2d81.17421733691052!3d17.428990086825337!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x535c4285e91a41f9!2sPHC%20Gummadavalli!5e0!3m2!1sen!2sin!4v1598774698475!5m2!1sen!2sin"" width=""400"" height=""300"" frameborder=""0"" style=""border:0;"" allowfullscreen="""" aria-hidden=""false"" tabindex=""0""></iframe>",RAPID ANTIGEN,GOVT,17.43548,81.0175147
28,bkm,BHADRADRI KOTHAGUDEM,6,PHC Morampallibanjara,https://goo.gl/maps/JYAu8pjwRbCK7smb9,"Morampalli Banjar, Telangana 507114",,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d4393.046473632532!2d80.80984032963221!3d17.63393912845006!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3a36a7ff83c48431%3A0x879997e28d923a51!2sPHC%20Morampalli%20Banjar!5e0!3m2!1sen!2sin!4v1598774809238!5m2!1sen!2sin"" width=""400"" height=""300"" frameborder=""0"" style=""border:0;"" allowfullscreen="""" aria-hidden=""false"" tabindex=""0""></iframe>",RAPID ANTIGEN,GOVT,17.6339391,80.8098403
29,bkm,BHADRADRI KOTHAGUDEM,7,PHC Chandrugonda,https://goo.gl/maps/rLx9uoB15hKkU1f77,"Chandrugonda, Telangana 507166",,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d60919.431392359445!2d80.6045963704856!3d17.38948410226942!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0xd2827a96aace42de!2sPHC%20govt!5e0!3m2!1sen!2sin!4v1598774908633!5m2!1sen!2sin"" width=""400"" height=""300"" frameborder=""0"" style=""border:0;"" allowfullscreen="""" aria-hidden=""false"" tabindex=""0""></iframe>",RAPID ANTIGEN,GOVT,17.3894841,80.6045964
30,bkm,BHADRADRI KOTHAGUDEM,8,PHC Satyanarayanapuram,https://goo.gl/maps/jfxFKypkYGLPVUfd6,"Satyanarayanapuram, Telangana 507140",,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d15177.171786293084!2d80.86588941704443!3d18.01160338863487!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x3dbc4d92daf60249!2sPhc%20Snpuram!5e0!3m2!1sen!2sin!4v1598775160534!5m2!1sen!2sin"" width=""400"" height=""300"" frameborder=""0"" style=""border:0;"" allowfullscreen="""" aria-hidden=""false"" tabindex=""0""></iframe>",RAPID ANTIGEN,GOVT,18.0116034,80.8658894
31,bkm,BHADRADRI KOTHAGUDEM,9,PHC Charla,https://goo.gl/maps/rSGhVMBoeGQkC9zv5,"Cherla, Telangana 507133",,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d15171.905706895197!2d80.81287656977538!3d18.072646!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3a3159b092eca647%3A0x7482930bfeacf110!2sPHC%20CHERLA!5e0!3m2!1sen!2sin!4v1598775221093!5m2!1sen!2sin"" width=""400"" height=""300"" frameborder=""0"" style=""border:0;"" allowfullscreen="""" aria-hidden=""false"" tabindex=""0""></iframe>",RAPID ANTIGEN,GOVT,18.072646,80.8128766
32,bkm,BHADRADRI KOTHAGUDEM,10,PHC Penagadapa,https://goo.gl/maps/anx3VUdDUHJFzRwP6,"Penagadapa, Kothagudem, Telangana 507103",,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d60904.01806665817!2d80.62625610881948!3d17.435712714591975!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x9eef4e82fe95b549!2sPhc%20Penagadapa!5e0!3m2!1sen!2sin!4v1598775348830!5m2!1sen!2sin"" width=""400"" height=""300"" frameborder=""0"" style=""border:0;"" allowfullscreen="""" aria-hidden=""false"" tabindex=""0""></iframe>",RAPID ANTIGEN,GOVT,17.4357127,80.6262561
33,bkm,BHADRADRI KOTHAGUDEM,11,PHC Dammapeta,https://goo.gl/maps/QhsafGFRyuSxdb9M9,"Mandalapalli, Telangana 507306",,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2265.571790789931!2d81.0103967355203!3d17.256472293045483!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3a368fc04fbcc481%3A0xb073eb0269269bf0!2sPHC(Govt%20General%20Hospital)!5e0!3m2!1sen!2sin!4v1598776284608!5m2!1sen!2sin"" width=""400"" height=""300"" frameborder=""0"" style=""border:0;"" allowfullscreen="""" aria-hidden=""false"" tabindex=""0""></iframe>",RAPID ANTIGEN,GOVT,17.2565731,81.0102638
34,bkm,BHADRADRI KOTHAGUDEM,12,PHC Patwarigudem,https://goo.gl/maps/bXNBHBSU8ee57ipi6,"Dammapeta Main Rd, Patwari Gudem, Telangana 507306",,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d15233.073724513806!2d80.9573094708907!3d17.350811699999987!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3a369b484da218f5%3A0x99708bbb1b5350c1!2sPhc%20patwarigudem!5e0!3m2!1sen!2sin!4v1598776350025!5m2!1sen!2sin"" width=""400"" height=""300"" frameborder=""0"" style=""border:0;"" allowfullscreen="""" aria-hidden=""false"" tabindex=""0""></iframe>",RAPID ANTIGEN,GOVT,17.3508117,80.9573095
35,bkm,BHADRADRI KOTHAGUDEM,13,PHC Dummugudem,https://goo.gl/maps/jpzV4793VZkZeJyb9,"Dummugudem, Telangana 507137",,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d30381.223360127296!2d80.88921008019938!3d17.854898199999994!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3a3153b2d90ca989%3A0xc5f6cf25b29dafa8!2sDummugudem%20Phc!5e0!3m2!1sen!2sin!4v1598776860546!5m2!1sen!2sin"" width=""400"" height=""300"" frameborder=""0"" style=""border:0;"" allowfullscreen="""" aria-hidden=""false"" tabindex=""0""></iframe>",RAPID ANTIGEN,GOVT,17.8548982,80.8892101
36,bkm,BHADRADRI KOTHAGUDEM,15,PHC Parnasala,https://goo.gl/maps/MAeADtNecWh12ZrU8,"Bamdirevu, Telangana 507137",,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d30370.70248967751!2d80.91824729999999!3d17.9163912!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3a315363866cc90b%3A0xccbbdb4d86d54322!2sParnasala%20Phc!5e0!3m2!1sen!2sin!4v1598777073574!5m2!1sen!2sin"" width=""400"" height=""300"" frameborder=""0"" style=""border:0;"" allowfullscreen="""" aria-hidden=""false"" tabindex=""0""></iframe>",RAPID ANTIGEN,GOVT,17.9163912,80.9182473
37,bkm,BHADRADRI KOTHAGUDEM,16,PHC Gundala,https://goo.gl/maps/2ijgPwdoXBkJFRzm7,"Narsampet - Gundala Rd, Dubbagudem, Telangana 507123",,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d72239.38356759746!2d80.31501397228799!3d17.903451006191126!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3a338f957940a0f1%3A0x37b19f1df83b0704!2sPHC%20GUNDALA!5e0!3m2!1sen!2sin!4v1598777135159!5m2!1sen!2sin"" width=""400"" height=""300"" frameborder=""0"" style=""border:0;"" allowfullscreen="""" aria-hidden=""false"" tabindex=""0""></iframe>",RAPID ANTIGEN,GOVT,17.903451,80.315014
38,bkm,BHADRADRI KOTHAGUDEM,17,PHC Julurupadu,https://goo.gl/maps/fMstLFW1s7z7Cq2n8,"Julurpad, Telangana 507166",,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3807.0587042600564!2d80.50102631390433!3d17.408970188065663!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3a343f554eab041d%3A0x9d45f35f14d6ab24!2sjulurupadu%20phc!5e0!3m2!1sen!2sin!4v1598777185867!5m2!1sen!2sin"" width=""400"" height=""300"" frameborder=""0"" style=""border:0;"" allowfullscreen="""" aria-hidden=""false"" tabindex=""0""></iframe>",RAPID ANTIGEN,GOVT,17.4089702,80.5010263
